Тюльпан Андорра, триумф, 11/12, - 10шт;0;;;;Тюльпан Андорра, триумф, 11/12, - 10шт;7455;Тюльпан;Андорра;10шт;11/12;.;LKV2007455;4607109939086;;;;;;;;;;;;;;;;;;;;;;;7455;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109939086;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Андре Ситроен, триумф, 11/12, - 10шт;0;;;;Тюльпан Андре Ситроен, триумф, 11/12, - 10шт;3249;Тюльпан;Андре Ситроен;10шт;11/12;.;LKV2003249;4607109950579;;;;;;;;;;;;;;;;;;;;;;;3249;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109950579;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Анфилд, 2й эффект, 12/+, - 7шт;0;;;;Тюльпан Анфилд, 2й эффект, 12/+, - 7шт;291;Тюльпан;Анфилд;7шт;12/+;.;LKV2000291;4607109971314;;;;;;;;;;;;;;;;;;;;;;;291;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109971314;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Анжелика, махр.поздн, 11/12, - 10шт;0;;;;Тюльпан Анжелика, махр.поздн, 11/12, - 10шт;1340;Тюльпан;Анжелика;10шт;11/12;.;LKV2001340;4607109962664;;;;;;;;;;;;;;;;;;;;;;;1340;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109962664;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Аньешка, триумф, 11/12, - 10шт;0;;;;Тюльпан Аньешка, триумф, 11/12, - 10шт;6224;Тюльпан;Аньешка;10шт;11/12;.;LKV2006224;4607109916100;;;;;;;;;;;;;;;;;;;;;;;6224;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109916100;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Аннелинда Уайт, 2й эффект, 11/12, - 10шт;0;;;;Тюльпан Аннелинда Уайт, 2й эффект, 11/12, - 10шт;792;Тюльпан;Аннелинда Уайт;10шт;11/12;.;LKV2000792;4607109969847;;;;;;;;;;;;;;;;;;;;;;;792;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109969847;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Антарктика, триумф, 11/12, - 10шт;0;;;;Тюльпан Антарктика, триумф, 11/12, - 10шт;6157;Тюльпан;Антарктика;10шт;11/12;.;LKV2006157;4607109916094;;;;;;;;;;;;;;;;;;;;;;;6157;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109916094;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Антарктика Файр, триумф, 11/12, - 10шт;0;;;;Тюльпан Антарктика Файр, триумф, 11/12, - 10шт;9284;Тюльпан;Антарктика Файр;10шт;11/12;.;LKV2009284;4607109916087;;;;;;;;;;;;;;;;;;;;;;;9284;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109916087;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Антарктика Флейм, триумф, 11/12, - 10шт;0;;;;Тюльпан Антарктика Флейм, триумф, 11/12, - 10шт;11729;Тюльпан;Антарктика Флейм;10шт;11/12;.;LKV2011729;4607109923306;;;;;;;;;;;;;;;;;;;;;;;11729;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109923306;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Антуанетта, мнгцв., 11/12, - 10шт;0;;;;Тюльпан Антуанетта, мнгцв., 11/12, - 10шт;1359;Тюльпан;Антуанетта;10шт;11/12;.;LKV2001359;4607109962688;;;;;;;;;;;;;;;;;;;;;;;1359;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109962688;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
