Лилия Априкот Джой (аз.низк.), 12/14, - 7шт;0;;;;13523;Лилия;Априкот Джой;7шт;10/12;.;LYL2013523;;;;;;;;;;;;;;;;;;;;;;;;13523;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920527;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Блезинг Джой (аз.низк.), 10/12, - 7шт;0;;;;13524;Лилия;Блезинг Джой;7шт;10/12;.;LYL2013524;;;;;;;;;;;;;;;;;;;;;;;;13524;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920510;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Брайт Джой (аз.низк.), 11/12, - 7шт;0;;;;4336;Лилия;Брайт Джой;7шт;11/12;.;LYL2004336;;;;;;;;;;;;;;;;;;;;;;;;4336;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109987575;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Бернинг Джой (аз.низк.), 11/12, - 7шт;0;;;;7059;Лилия;Бернинг Джой;7шт;11/12;.;LYL2007059;;;;;;;;;;;;;;;;;;;;;;;;7059;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109947036;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Сентури Джой (аз.низк.), 10/12, - 7шт;0;;;;10634;Лилия;Сентури Джой;7шт;10/12;.;LYL2010634;;;;;;;;;;;;;;;;;;;;;;;;10634;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109926826;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Черри Джой (аз.низк.), 10/12;0;;;;13525;Лилия;Черри Джой;7шт;10/12;.;АЛЛ0013525;;;;;;;;;;;;;;;;;;;;;;;;13525;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920503;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Конфетти Джой (аз.низк.), 10/12, - 7шт;0;;;;7060;Лилия;Конфетти Джой;7шт;10/12;.;LYL2007060;;;;;;;;;;;;;;;;;;;;;;;;7060;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109947043;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Деликейт Джой (аз.низк.), 10/12;0;;;;7063;Лилия;Деликейт Джой;7шт;10/12;.;АЛЛ0007063;;;;;;;;;;;;;;;;;;;;;;;;7063;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109947074;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Дриминг Джой (аз.низк.), 10/12, - 7шт;0;;;;7064;Лилия;Дриминг Джой;7шт;10/12;.;LYL2007064;;;;;;;;;;;;;;;;;;;;;;;;7064;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109947081;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Элегант Джой (аз.низк.), 10/12, - 7шт;0;;;;5334;Лилия;Элегант Джой;7шт;10/12;.;LYL2005334;;;;;;;;;;;;;;;;;;;;;;;;5334;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109937921;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
